,pp_host_prob_prov,pp_1hi_starid,pp_1hi_rel_prob,pp_2rel_prob,pp_unk_rel_prob,pp_1hi_ra,pp_1hi_mod_depth,pp_2hi_starid,pp_dv_run_id,pp_host_prob_score,pp_host_prior_prob,pp_2mod_depth,pp_koi_time0bk,pp_2hi_dec,pp_koi_period,pp_1hi_prob_prov,pp_host_rel_prob,pp_bkgd_density,pp_2prob_prov,pp_1hi_dec,pp_koi_depth,pp_2hi_ra,pp_1hi_kepmag,pp_2hi_kepmag,pp_2hi_rel_prob,pp_2hi_prob_prov,pp_2hi_mod_depth,pp_1prob_prov,pp_1rel_prob,pp_1mod_depth
K00102.01,FAILED,,,,,,,,q1_q17_dr24_tce,0.0,0.71,,,,,,,,,,,,,,,,,,,
K00102.02,FAILED,,,,,,,,q1_q17_dr24_tce,0.0,0.71,,,,,,,,,,,,,,,,,,,
K00103.01,PROB,KIC 2444412,1.0,,4.922e-06,291.6834,6931.0,,q1_q17_dr24_tce,1.0,0.78,,141.3252,,14.91,KIC,1.0,9.929e-06,,37.7516,848.0,,12.59,,,,,,,
K00104.01,PROB,KIC 10318874,1.0,,4.508e-07,281.1947,11794.0,,q1_q17_dr24_tce,1.0,0.95,,132.4911,,2.51,KIC,1.0,3.037e-06,,47.4971,1472.0,,12.89,,,,,,,
K00105.01,PROB,KIC 8711794,1.0,,3.407e-06,298.937,8265.0,,q1_q17_dr24_tce,1.0,0.74,,136.6498,,8.98,KIC,1.0,1.304e-05,,44.8579,1067.0,,12.87,,,,,,,
K00106.01,MATCH,,,,1.0,,,,q1_q17_dr24_tce,1.0,0.79,,131.8543,,3.22,,0.0,9.61e-06,,,268.0,,,,,,,,,
K00107.01,PROB,KIC 11250587,1.0,,2.57e-06,294.8352,3301.0,UKIRT 44117905447464,q1_q17_dr24_tce,1.0,0.85,,134.0234,48.9824,7.26,KIC,1.0,6.325e-06,,48.9824,452.0,294.8341,12.7,17.12,0.0,UKIRT,208148.0,,,
K00108.01,PROB,KIC 4914423,1.0,,3.261e-06,288.9846,3789.0,,q1_q17_dr24_tce,1.0,0.85,,142.1769,,15.97,KIC,1.0,6.03e-06,,40.0645,483.0,,12.29,,,,,,,
K00108.02,PROB,KIC 4914423,1.0,,1.776e-06,288.9846,1078.0,,q1_q17_dr24_tce,1.0,0.85,,295.336,,179.61,KIC,1.0,6.03e-06,,40.0645,1277.0,,12.29,,,,,,,
K00109.01,PROB,KIC 4752452,0.99,,0.01099,293.4545,889352.0,KIC 4752451,q1_q17_dr24_tce,1.0,0.77,,132.8561,39.8039,6.42,KIC,0.0,1.018e-05,,39.8059,446.0,293.4543,17.48,12.38,0.0,KIC,3372.0,,,
K00110.01,PROB,KIC 9450647,1.0,,1.892e-06,284.5557,3872.0,,q1_q17_dr24_tce,1.0,0.92,,135.2161,,9.94,KIC,1.0,3.473e-06,,46.0638,525.0,,12.66,,,,,,,
K00111.01,PROB,KIC 6678383,1.0,,2.306e-06,287.6046,3915.0,,q1_q17_dr24_tce,1.0,0.88,,137.6131,,11.43,KIC,1.0,4.962e-06,,42.1668,497.0,,12.6,,,,,,,
K00111.02,PROB,KIC 6678383,1.0,,5.374e-06,287.6046,3281.0,,q1_q17_dr24_tce,1.0,0.88,,132.7125,,23.67,KIC,1.0,4.962e-06,,42.1668,455.0,,12.6,,,,,,,
K00111.03,PROB,KIC 6678383,1.0,,2.995e-06,287.6046,3891.0,,q1_q17_dr24_tce,1.0,0.88,,167.5786,,51.76,KIC,1.0,4.962e-06,,42.1668,605.0,,12.6,,,,,,,
K00112.01,PROB,KIC 10984090,1.0,,4.81e-06,295.6487,5154.0,,q1_q17_dr24_tce,1.0,0.84,,134.1012,,51.08,KIC,1.0,7.07e-06,,48.4956,737.0,,12.77,,,,,,,
K00112.02,PROB,KIC 10984090,1.0,,1.789e-05,295.6487,972.0,,q1_q17_dr24_tce,1.0,0.84,,133.9873,,3.71,KIC,1.0,7.07e-06,,48.4956,129.0,,12.77,,,,,,,
K00114.01,PROB,KIC 6721123,0.0,,1.935e-06,298.8643,2197.0,KIC 6721128,q1_q17_dr24_tce,1.0,0.69,,132.2484,42.1521,7.36,KIC,0.0,1.617e-05,,42.1516,312.0,298.8663,12.66,17.94,0.0,KIC,402658.0,,,
K00115.01,PROB,KIC 9579641,1.0,,8.001e-07,287.8873,4764.0,,q1_q17_dr24_tce,1.0,0.9,,133.1437,,5.41,KIC,1.0,4.365e-06,,46.2762,602.0,,12.79,,,,,,,
K00115.02,PROB,KIC 9579641,1.0,,9.828e-06,287.8873,1368.0,UKIRT 44117907806126,q1_q17_dr24_tce,1.0,0.9,,131.8788,46.2751,7.13,KIC,1.0,4.365e-06,,46.2762,188.0,287.8879,12.79,19.0,1.4e-14,UKIRT,662426.0,,,
K00116.01,PROB,KIC 8395660,1.0,,2.003e-05,300.864,4359.0,KIC 8395658,q1_q17_dr24_tce,1.0,0.68,,136.2798,44.3396,13.57,KIC,1.0,1.688e-05,,44.3376,524.0,300.8635,12.88,17.3,0.0,KIC,726618.0,,,
K00116.02,PROB,KIC 8395660,1.0,,2.723e-05,300.864,4129.0,KIC 8395658,q1_q17_dr24_tce,1.0,0.68,,151.9368,44.3396,43.84,KIC,1.0,1.688e-05,,44.3376,617.0,300.8635,12.88,17.3,0.0,KIC,718490.0,,,
K00116.03,PROB,KIC 8395660,1.0,,0.0004273,300.864,644.0,KIC 8395658,q1_q17_dr24_tce,0.33,0.68,,135.6397,44.3396,6.16,KIC,1.0,1.688e-05,,44.3376,60.0,300.8635,12.88,17.3,4.6e-07,KIC,109582.0,,,
K00116.04,PROB,KIC 8395660,1.0,,0.0002334,300.864,634.0,KIC 8395658,q1_q17_dr24_tce,0.22,0.68,,147.5376,44.3396,23.98,KIC,1.0,1.688e-05,,44.3376,102.0,300.8635,12.88,17.3,5.9e-14,KIC,111115.0,,,
K00117.01,PROB,KIC 10875245,1.0,,8.766e-06,297.0282,2288.0,KIC 10875248,q1_q17_dr24_tce,1.0,0.82,,138.7782,48.211,14.75,KIC,1.0,7.83e-06,,48.2086,416.0,297.0286,12.49,16.51,0.0,KIC,392369.0,,,
K00117.02,PROB,KIC 10875245,1.0,,5.898e-05,297.0282,846.0,KIC 10875250,q1_q17_dr24_tce,0.89,0.82,,133.7043,48.2101,4.9,KIC,1.0,7.83e-06,,48.2086,134.0,297.0291,12.49,17.1,2.6e-11,KIC,77946.0,,,
