,pp_host_prob_prov,pp_1hi_starid,pp_1hi_rel_prob,pp_2hi_rel_prob,pp_unk_rel_prob,pp_1hi_ra,pp_1hi_mod_depth,pp_2hi_starid,pp_host_rel_prob_err,pp_host_prob_score,pp_unk_rel_prob_err,pp_2hi_rel_prob_err,pp_1hi_rel_prob_err,pp_host_prior_prob,pp_koi_time0bk,pp_2hi_dec,pp_koi_period,pp_1hi_prob_prov,pp_dv_run_id,pp_host_rel_prob,pp_2hi_prob_prov,pp_bkgd_density,pp_1hi_dec,pp_2hi_mod_depth,pp_koi_depth,pp_2hi_ra,pp_1hi_kepmag,pp_2hi_kepmag
K00613.01,MATCH,,,,,,,,0.0,1.0,,,,0.77,,,,,dr25,0.0,,,,,,,,
K00614.01,PROB,KIC 7368664,0.93,6.5e-91,0.06684,293.5864,33547.0,KIC 7368659,0.11,1.0,0.00675,1.3e-90,0.11,0.81,144.2729,42.9295,12.87,KIC,dr25,0.93,KIC,1.238e-05,42.9289,421280.0,3846.0,293.5852,14.52,16.64
K00615.01,PROB,UKIRT 44117910756260,1.0,7.1e-101,9.073e-06,295.0245,856358.0,KIC 8374580,2.9e-102,1.0,3.634e-07,2.9e-102,0.046,0.8,192.5032,44.3302,176.24,UKIRT,dr25,7.1e-101,KIC,1.271e-05,44.3299,14245.0,4770.0,295.0256,18.25,14.47
K00616.01,PROB,KIC 9714696,9.1e-96,,1.0,293.6891,2713.0,,1.3e-109,1.0,1.414e-14,,1.3e-109,0.84,132.5877,,1.43,KIC,dr25,9.1e-96,,1.101e-05,46.4129,,242.0,,14.81,
K00617.01,PROB,KIC 9846086,1.0,,1.057e-06,297.4187,54328.0,,0.0032,1.0,2.937e-09,,0.0032,0.79,160.7343,,37.87,KIC,dr25,1.0,,1.404e-05,46.6443,,6835.0,,14.61,
K00618.01,PROB,KIC 10353968,1.0,5.3e-06,0.0001009,296.9867,9053.0,KIC 10353963,0.064,1.0,5.595e-06,2.2e-06,0.064,0.81,132.99,47.4773,9.07,KIC,dr25,1.0,KIC,1.426e-05,47.4774,55933.0,1024.0,296.985,14.96,16.3
K00619.01,PROB,KIC 10384962,1.0,,3.229e-07,281.7756,381629.0,,0.00068,1.0,1.908e-10,,0.00068,0.94,133.2801,,2.88,KIC,dr25,1.0,,4.738e-06,47.5932,,48415.0,,14.37,
K00620.01,PROB,KIC 11773022,1.0,,1.21e-06,296.4798,59701.0,,0.0065,0.61,6.782e-09,,0.0065,0.84,159.1065,,45.16,KIC,dr25,1.0,,1.061e-05,49.9377,,6212.0,,14.67,
K00620.02,PROB,KIC 11773022,1.0,,1.389e-06,296.4798,51731.0,,0.015,0.62,1.849e-08,,0.015,0.84,212.0344,,130.18,KIC,dr25,1.0,,1.061e-05,49.9377,,11596.0,,14.67,
K00620.03,PROB,KIC 11773022,1.0,2.4e-74,7.287e-06,296.4798,7424.0,UKIRT 44117904768261,0.024,0.64,1.506e-07,7.5e-74,0.024,0.84,209.9968,49.9378,85.32,KIC,dr25,1.0,UKIRT,1.061e-05,49.9377,1272623.0,1810.0,296.4813,14.67,20.18
K00621.01,PROB,KIC 12251650,1.0,,4.673e-07,287.461,197636.0,,0.0039,1.0,1.586e-09,,0.0039,0.92,138.6591,,17.76,KIC,dr25,1.0,,6.106e-06,50.9751,,24117.0,,14.76,
K00622.01,PROB,KIC 12417486,1.0,2.8e-81,6.773e-05,295.8803,21316.0,KIC 12417476,0.074,1.0,4.321e-06,4.1e-81,0.074,0.86,213.4995,51.2628,155.04,KIC,dr25,1.0,KIC,1.019e-05,51.2638,898784.0,4884.0,295.8781,14.93,15.97
K00623.01,PROB,KIC 12068975,1.0,2.5e-16,2.869e-05,295.2264,874.0,KIC 12068971,0.028,1.0,6.86e-07,1.7e-16,0.028,0.86,132.6634,50.5575,10.35,KIC,dr25,1.0,KIC,5.135e-06,50.559,19718.0,116.0,295.2255,11.81,14.55
K00623.02,PROB,KIC 12068975,1.0,1.5e-08,2.87e-05,295.2264,799.0,KIC 12068971,0.034,1.0,8.563e-07,3e-09,0.034,0.86,132.4419,50.5575,15.68,KIC,dr25,1.0,KIC,5.135e-06,50.559,16742.0,109.0,295.2255,11.81,14.55
K00623.03,PROB,KIC 12068975,1.0,1.8e-10,2.151e-05,295.2264,614.0,KIC 12068971,0.02,1.0,3.717e-07,6.9e-11,0.02,0.86,132.2813,50.5575,5.6,KIC,dr25,1.0,KIC,5.135e-06,50.559,11677.0,85.0,295.2255,11.81,14.55
K00623.04,PROB,KIC 12068975,0.87,0.13,0.0001298,295.2264,470.0,KIC 12068971,0.016,0.22,2.101e-06,0.0049,0.016,0.86,154.4071,50.5575,25.21,KIC,dr25,0.87,KIC,5.135e-06,50.559,10136.0,57.0,295.2255,11.81,14.55
K00624.01,PROB,KIC 3541946,1.0,2.2e-46,5.036e-06,290.6731,5563.0,UKIRT 44117920181529,0.017,1.0,7.524e-08,2.9e-46,0.017,0.81,146.8559,38.6918,17.79,KIC,dr25,1.0,UKIRT,9.716e-06,38.691,2047977.0,904.0,290.674,13.6,20.0
K00624.02,PROB,KIC 3541946,1.0,1.1e-24,1.032e-05,290.6731,3829.0,UKIRT 44117920181529,0.021,1.0,1.851e-07,8.8e-25,0.021,0.81,169.5409,38.6918,49.57,KIC,dr25,1.0,UKIRT,9.716e-06,38.691,1434624.0,684.0,290.674,13.6,20.0
K00624.03,PROB,KIC 3541946,1.0,7.4e-45,4.578e-06,290.6731,1413.0,UKIRT 44117920181529,0.014,1.0,5.74e-08,7.5e-45,0.014,0.81,131.8005,38.6918,1.31,KIC,dr25,1.0,UKIRT,9.716e-06,38.691,594845.0,226.0,290.674,13.6,20.0
K00625.01,PROB,KIC 4449034,1.0,9.4e-101,5.93e-06,286.5638,8728.0,KIC 4449033,0.03,0.89,1.559e-07,2.5e-102,0.03,0.87,142.2982,39.532,38.14,KIC,dr25,1.0,KIC,6.316e-06,39.5345,185512.0,1207.0,286.5632,13.59,13.89
K00626.01,PROB,KIC 4478168,1.0,2.5e-07,2.527e-05,295.1934,2860.0,UKIRT 44117917911377,0.023,1.0,4.931e-07,1e-07,0.023,0.73,143.0481,39.5405,14.59,KIC,dr25,1.0,UKIRT,1.463e-05,39.5397,375115.0,379.0,295.1932,13.49,18.69
K00626.02,PROB,KIC 4478168,0.88,0.067,0.0003603,295.1934,483.0,UKIRT 44117917911377,0.03,0.64,1.066e-05,0.0042,0.03,0.73,132.8297,39.5405,8.03,KIC,dr25,0.88,UKIRT,1.463e-05,39.5397,64298.0,65.0,295.1932,13.49,18.69
K00627.01,PROB,KIC 4563268,1.0,,0.0003834,292.1505,3282.0,,0.074,1.0,2.452e-05,,0.074,0.79,137.4145,,7.75,KIC,dr25,1.0,,1.009e-05,39.6376,,403.0,,13.31,
K00627.02,PROB,KIC 4563268,1.0,,0.0003599,292.1505,921.0,,0.055,0.56,1.7e-05,,0.055,0.79,132.0379,,4.17,KIC,dr25,1.0,,1.009e-05,39.6376,,120.0,,13.31,
K00628.01,PROB,KIC 4644604,1.0,2.5e-06,7.52e-06,288.6986,3737.0,hiresKIC 22000138,0.012,1.0,8.032e-08,2.6e-07,0.012,0.85,131.5487,39.7086,14.49,KIC,dr25,1.0,hiresKIC,8.184e-06,39.7083,274520.0,456.0,288.6981,13.95,18.56
K00629.01,PROB,KIC 4656049,1.0,7.1e-05,0.0001743,292.1043,2820.0,KIC 4656051,0.033,0.98,5.016e-06,8.3e-06,0.033,0.8,131.8706,39.7693,40.7,KIC,dr25,1.0,KIC,1.132e-05,39.7679,60940.0,431.0,292.1045,13.95,16.33
K00630.01,MATCH,KIC 4659405,2.3e-53,,1.0,293.0873,2782.0,,1e-52,0.22,1.414e-14,,1e-52,0.78,135.6686,,4.53,KIC,dr25,2.3e-53,,1.245e-05,39.7991,,271.0,,13.93,
K00631.01,PROB,KIC 4742414,1.0,1.2e-101,1.055e-06,290.4493,33547.0,KIC 4742415,0.015,1.0,1.357e-08,1.6e-103,0.015,0.83,142.8663,39.8564,15.46,KIC,dr25,1.0,KIC,8.488e-06,39.8548,2351075.0,4267.0,290.4497,13.4,17.98
K00632.01,PROB,KIC 4827723,1.0,8.8e-60,7.984e-06,289.4178,1557.0,UKIRT 44117918340638,0.019,1.0,1.33e-07,1.7e-59,0.019,0.84,135.0231,39.9466,7.24,KIC,dr25,1.0,UKIRT,7.581e-06,39.945,1344270.0,266.0,289.4188,13.36,20.22
K00633.01,PROB,KIC 4841374,0.65,0.35,1.029e-05,293.427,1805.0,hiresKIC 22000150,0.013,1.0,1.731e-07,0.0095,0.013,0.77,170.6026,39.9426,161.47,KIC,dr25,0.65,hiresKIC,1.26e-05,39.9424,116505.0,805.0,293.4271,13.87,18.38
K00634.01,FPWG,,,,,,,,0.0,1.0,,,,0.66,,,,,dr25,0.0,,,,,,,,
K00635.01,PROB,KIC 5020319,1.0,2.5e-32,5.026e-06,294.3735,2882.0,hiresKIC 22000180,0.0082,1.0,3.558e-08,3e-32,0.0082,0.76,137.9617,40.1954,16.72,KIC,dr25,1.0,hiresKIC,1.186e-05,40.1946,1191209.0,532.0,294.3734,13.03,19.57
K00636.01,PROB,KIC 5090690,1.0,,4.077e-07,289.1914,104344.0,,0.00036,1.0,1.273e-10,,0.00036,0.85,140.6008,,12.01,KIC,dr25,1.0,,7.138e-06,40.2632,,14231.0,,13.25,
K00637.01,PROB,KIC 5098444,1.0,,2.297e-06,291.5633,107839.0,,0.01,1.0,2.022e-08,,0.01,0.81,151.0201,,26.95,KIC,dr25,1.0,,9.962e-06,40.2678,,19776.0,,13.77,
K00638.01,PROB,KIC 5113822,1.0,2.8e-28,0.002731,295.5594,7234.0,UKIRT 44117916693888,0.21,0.75,0.0005055,8.3e-28,0.21,0.73,148.9638,40.237,23.64,KIC,dr25,1.0,UKIRT,1.468e-05,40.2363,1747651.0,1051.0,295.5614,13.6,19.24
K00638.02,PROB,KIC 5113822,1.0,6.8e-16,0.001052,295.5594,8783.0,UKIRT 44117916693888,0.14,0.77,0.0001246,1.5e-15,0.14,0.73,146.5684,40.237,67.09,KIC,dr25,1.0,UKIRT,1.468e-05,40.2363,2095869.0,1241.0,295.5614,13.6,19.24
K00639.01,PROB,KIC 5120087,1.0,2.6e-21,1.807e-05,296.8858,2920.0,UKIRT 44117916811817,0.023,1.0,3.621e-07,2.7e-21,0.023,0.7,146.2843,40.2291,17.98,KIC,dr25,1.0,UKIRT,1.678e-05,40.2282,1065722.0,470.0,296.8857,13.5,19.87
K00640.01,PROB,hiresKIC 22000202,0.41,0.37,1.238e-05,297.2525,17386.0,KIC 5121511,0.014,1.0,3.727e-07,0.014,0.015,0.69,160.7881,40.2886,31.0,hiresKIC,dr25,0.37,KIC,1.7e-05,40.2887,10757.0,646.0,297.2526,13.85,13.33
K00641.01,FAILED,,,,,,,,,0.0,,,,0.63,,,,,dr25,,,,,,,,,
K00642.01,MATCH,,,,,,,,0.0,1.0,,,,0.83,,,,,dr25,0.0,,,,,,,,
K00643.01,PROB,KIC 5309353,0.9,2e-10,0.09651,299.6813,5396.0,UKIRT 44117916198864,0.15,0.34,0.01405,1.1e-10,0.15,0.63,132.571,40.4285,1.38,KIC,dr25,0.9,UKIRT,2.48e-05,40.4284,15738.0,332.0,299.6807,13.99,15.01
K00644.01,PROB,KIC 5356593,1.0,2.8e-27,1.333e-06,289.9668,220281.0,UKIRT 44117917259700,0.017,1.0,1.966e-08,9.6e-28,0.017,0.84,148.6418,40.5329,45.98,KIC,dr25,1.0,UKIRT,8.327e-06,40.5327,854730.0,23887.0,289.9676,13.72,15.15
K00645.01,PROB,KIC 5374854,0.97,0.032,0.0002312,295.2174,2000.0,UKIRT 44117916865567,0.078,0.97,1.615e-05,0.0033,0.078,0.75,136.8535,40.5927,8.5,KIC,dr25,0.97,UKIRT,1.407e-05,40.5922,9960.0,181.0,295.2181,13.72,15.39
K00645.02,PROB,KIC 5374854,0.55,0.36,0.0001963,295.2174,1954.0,UKIRT 44117916865567,0.049,0.73,1.401e-05,0.03,0.049,0.75,132.1832,40.5927,23.78,KIC,dr25,0.55,UKIRT,1.407e-05,40.5922,9866.0,252.0,295.2181,13.72,15.39
K00646.01,PROB,KIC 5384802,1.0,,1.046e-06,297.449,164914.0,,0.00075,1.0,6.804e-10,,0.00075,0.69,133.9874,,3.04,KIC,dr25,1.0,,1.807e-05,40.5109,,20582.0,,13.71,
K00647.01,PROB,KIC 5531694,1.0,5.8e-101,5.191e-06,291.1951,1417.0,KIC 5531684,0.012,1.0,5.609e-08,6.3e-103,0.012,0.82,134.1251,40.7024,5.17,KIC,dr25,1.0,KIC,8.923e-06,40.7027,352234.0,194.0,291.1931,13.55,18.52
K00647.02,PROB,KIC 5531694,1.0,0.0027,0.0001987,291.1951,260.0,KIC 5531684,0.035,0.12,5.983e-06,0.00063,0.035,0.82,132.8056,40.7024,8.11,KIC,dr25,1.0,KIC,8.923e-06,40.7027,66596.0,44.0,291.1931,13.55,18.52
K00648.01,PROB,KIC 5596440,1.0,1.3e-101,5.354e-07,282.7207,19636.0,KIC 5596444,0.013,1.0,6.167e-09,1.5e-103,0.013,0.92,140.6959,40.8992,10.47,KIC,dr25,1.0,KIC,4.172e-06,40.8992,2608197.0,2008.0,282.7231,13.22,18.49
K00649.01,PROB,KIC 5613330,1.0,,8.07e-06,289.7732,1852.0,,0.017,1.0,1.199e-07,,0.017,0.84,136.0249,,23.45,KIC,dr25,1.0,,7.389e-06,40.8007,,320.0,,13.31,
K00649.02,PROB,KIC 5613330,1.0,,0.000342,289.7732,266.0,,0.037,0.12,1.105e-05,,0.037,0.84,140.6899,,10.21,KIC,dr25,1.0,,7.389e-06,40.8007,,39.0,,13.31,
K00650.01,PROB,KIC 5786676,1.0,5.9e-16,5.791e-06,290.3962,9194.0,UKIRT 44117915880556,0.037,1.0,1.842e-07,4.6e-16,0.037,0.84,142.8572,41.04,11.95,KIC,dr25,1.0,UKIRT,8.176e-06,41.0401,89667.0,894.0,290.3953,13.59,15.91
K00651.01,MATCH,KIC 5796186,8.5e-96,,1.0,293.4561,22204.0,,1.2e-109,0.12,1.414e-14,,1.2e-109,0.79,161.5708,,42.56,KIC,dr25,8.5e-96,,1.179e-05,41.0482,,3641.0,,13.91,
K00651.02,PROB,KIC 5796186,1.0,6.8e-05,0.0001503,293.4561,103.0,UKIRT 44117915772364,3.6e-16,0.18,1.504e-18,3.9e-20,3.6e-16,0.79,423.2238,41.0492,320.18,KIC,dr25,1.0,UKIRT,1.179e-05,41.0482,31540.0,173.0,293.4577,13.91,19.91
K00652.01,PROB,KIC 5796675,1.0,5.6e-12,2.162e-05,293.5919,26746.0,hiresKIC 22000277,0.067,1.0,1.255e-06,2.3e-12,0.067,0.79,134.5185,41.0952,16.08,KIC,dr25,1.0,hiresKIC,1.128e-05,41.0952,136972.0,3060.0,293.5914,13.65,15.4
K00653.01,PROB,UKIRT 44117915018026,1.0,1.9e-101,2.955e-06,296.4337,1561896.0,KIC 5893123,2.9e-103,1.0,4.659e-08,2.9e-103,0.018,0.73,132.48,41.1346,1.13,UKIRT,dr25,1.9e-101,KIC,1.583e-05,41.1339,1037.0,113.0,296.4357,21.22,13.86
K00654.01,PROB,KIC 5941160,1.0,1.4e-26,4.353e-06,284.4099,2349.0,UKIRT 44117914503764,0.021,1.0,7.943e-08,2.9e-26,0.021,0.9,137.2502,41.2371,8.59,KIC,dr25,1.0,UKIRT,5.566e-06,41.2375,2640144.0,345.0,284.4111,13.98,21.63
K00654.02,PROB,KIC 5941160,0.85,0.15,5.377e-05,284.4099,1727.0,UKIRT 44117914503764,0.027,1.0,1.504e-06,0.013,0.027,0.9,135.8904,41.2371,10.22,KIC,dr25,0.85,UKIRT,5.566e-06,41.2375,1997396.0,225.0,284.4111,13.98,21.63
K00655.01,PROB,KIC 5966154,1.0,1.8e-53,2.014e-05,293.626,2718.0,UKIRT 44117914653891,0.038,1.0,6.578e-07,6.2e-53,0.038,0.79,140.7526,41.2738,25.67,KIC,dr25,1.0,UKIRT,1.002e-05,41.2728,1896937.0,378.0,293.6284,13.0,20.05
K00655.02,PROB,KIC 5966154,1.0,9.3e-21,7.283e-05,293.626,853.0,UKIRT 44117914653891,0.035,0.98,2.214e-06,9.5e-21,0.035,0.79,176.4139,41.2738,151.89,KIC,dr25,1.0,UKIRT,1.002e-05,41.2728,1122093.0,353.0,293.6284,13.0,20.05
K00656.01,PROB,KIC 5966660,9.2e-96,9.2e-96,1.0,293.7756,1823.0,KIC 5966667,1.3e-109,0.05,1.414e-14,1.3e-109,1.3e-109,0.78,131.928,41.2277,1.91,KIC,dr25,9.2e-96,KIC,1.092e-05,41.2285,635785.0,182.0,293.7779,13.43,17.53
K00657.01,PROB,KIC 6020753,1.0,,2.913e-06,282.9734,3862.0,,0.018,1.0,4.583e-08,,0.018,0.92,134.3937,,4.07,KIC,dr25,1.0,,4.945e-06,41.322,,537.0,,13.87,
K00657.02,PROB,KIC 6020753,1.0,,2.981e-06,282.9734,5981.0,,0.017,1.0,4.313e-08,,0.017,0.92,131.9514,,16.28,KIC,dr25,1.0,,4.945e-06,41.322,,784.0,,13.87,
K00658.01,PROB,KIC 6062088,1.0,6.3e-19,5.179e-06,297.09,3793.0,hiresKIC 22000315,0.02,1.0,9.01e-08,7.7e-19,0.02,0.72,131.6898,41.3878,3.16,KIC,dr25,1.0,hiresKIC,1.713e-05,41.388,182964.0,494.0,297.0894,13.99,18.17
K00658.02,PROB,KIC 6062088,1.0,6.3e-07,1.24e-05,297.09,3846.0,hiresKIC 22000315,0.01,1.0,1.1e-07,1.1e-07,0.01,0.72,134.6433,41.3878,5.37,KIC,dr25,1.0,hiresKIC,1.713e-05,41.388,185753.0,489.0,297.0894,13.99,18.17
K00658.03,PROB,KIC 6062088,0.78,0.22,0.0001691,297.09,983.0,hiresKIC 22000315,0.023,0.56,4.266e-06,0.0088,0.023,0.72,133.9647,41.3878,11.33,KIC,dr25,0.78,hiresKIC,1.713e-05,41.388,47551.0,160.0,297.0894,13.99,18.17
K00659.01,PROB,KIC 6125481,1.0,5.7e-15,1.886e-05,292.4172,2541.0,KIC 6125480,0.012,1.0,2.006e-07,1.3e-15,0.012,0.81,134.3512,41.4187,23.21,KIC,dr25,1.0,KIC,9.36e-06,41.4169,85125.0,338.0,292.4169,13.41,15.0
K00660.01,PROB,KIC 6267535,1.0,,4.402e-06,284.9194,1714.0,,0.016,1.0,6.165e-08,,0.016,0.9,134.106,,6.08,KIC,dr25,1.0,,5.054e-06,41.6172,,272.0,,13.53,
K00661.01,PROB,KIC 6347299,1.0,8.3e-101,4.728e-06,285.3472,2589.0,KIC 6347311,0.021,1.0,8.654e-08,1.5e-102,0.021,0.9,131.7856,41.7606,14.4,KIC,dr25,1.0,KIC,5.691e-06,41.7619,2894981.0,383.0,285.3514,13.91,15.02
K00661.02,PROB,KIC 6347299,1.0,2.9e-19,8.42e-05,285.3472,1225.0,KIC 6347309,0.054,0.73,3.971e-06,9.7e-19,0.054,0.9,155.1373,41.7614,25.66,KIC,dr25,1.0,KIC,5.691e-06,41.7619,2015221.0,171.0,285.3503,13.91,18.32
K00662.01,PROB,KIC 6365156,1.0,,1.003e-05,292.1869,2197.0,,0.02,1.0,1.699e-07,,0.02,0.82,140.0616,,10.21,KIC,dr25,1.0,,8.839e-06,41.727,,294.0,,13.34,
K00663.01,PROB,KIC 6425957,1.0,3.4e-53,1.094e-06,285.2871,4138.0,hiresKIC 22000360,0.014,1.0,1.292e-08,4e-53,0.014,0.9,132.2671,41.8616,2.76,KIC,dr25,1.0,hiresKIC,5.102e-06,41.8612,1275997.0,528.0,285.2882,13.51,19.67
K00663.02,PROB,KIC 6425957,1.0,6.1e-29,1.889e-06,285.2871,5247.0,hiresKIC 22000360,0.026,1.0,4.212e-08,6e-29,0.026,0.9,132.0463,41.8616,20.31,KIC,dr25,1.0,hiresKIC,5.102e-06,41.8612,1621563.0,699.0,285.2882,13.51,19.67
K00664.01,PROB,KIC 6442340,1.0,,2.49e-05,291.6347,1460.0,,0.015,1.0,3.211e-07,,0.015,0.83,143.9515,,13.14,KIC,dr25,1.0,,8.559e-06,41.8339,,213.0,,13.48,
K00664.02,PROB,KIC 6442340,1.0,,5.586e-05,291.6347,749.0,,0.036,1.0,1.73e-06,,0.036,0.83,133.5892,,7.78,KIC,dr25,1.0,,8.559e-06,41.8339,,104.0,,13.48,
K00664.03,PROB,KIC 6442340,1.0,,0.0001178,291.6347,575.0,,0.034,0.74,3.493e-06,,0.034,0.83,152.0137,,23.44,KIC,dr25,1.0,,8.559e-06,41.8339,,87.0,,13.48,
K00665.01,PROB,KIC 6685609,1.0,2.4e-45,6.985e-06,290.0305,3044.0,KIC 6685615,0.016,1.0,9.662e-08,1.8e-45,0.016,0.85,135.1167,42.1664,5.87,KIC,dr25,1.0,KIC,6.828e-06,42.166,1056257.0,432.0,290.0327,13.18,18.32
K00665.02,PROB,KIC 6685609,1.0,1.1e-55,1.098e-05,290.0305,708.0,KIC 6685615,0.014,1.0,1.377e-07,4.1e-55,0.014,0.85,131.9565,42.1664,1.61,KIC,dr25,1.0,KIC,6.828e-06,42.166,304551.0,99.0,290.0327,13.18,18.32
K00665.03,PROB,KIC 6685609,1.0,3.1e-13,4.021e-05,290.0305,662.0,KIC 6685615,0.013,0.99,4.523e-07,3.5e-13,0.013,0.85,133.2961,42.1664,3.07,KIC,dr25,1.0,KIC,6.828e-06,42.166,234802.0,83.0,290.0327,13.18,18.32
K00666.01,PROB,KIC 6707835,1.0,5.1e-101,6.904e-06,296.0322,4514.0,KIC 6707834,0.021,1.0,1.265e-07,9.3e-103,0.021,0.75,151.8886,42.1336,22.25,KIC,dr25,1.0,KIC,1.364e-05,42.1317,558603.0,614.0,296.0322,13.72,16.95
K00667.01,PROB,UKIRT 44117914348596,0.99,0.01,6.254e-06,282.1545,1499231.0,KIC 6752502,0.00067,0.81,1.257e-07,0.00067,0.023,0.93,131.7088,42.2345,4.31,UKIRT,dr25,0.01,KIC,4.565e-06,42.2346,100092.0,10296.0,282.1549,16.91,13.83
K00668.01,PROB,KIC 6805146,1.0,,9.708e-07,298.5916,206176.0,,0.00095,1.0,7.973e-10,,0.00095,0.7,137.3489,,13.78,KIC,dr25,1.0,,1.649e-05,42.2064,,25602.0,,13.21,
K00669.01,PROB,KIC 6960446,1.0,4.9e-101,6.137e-06,295.1958,722623.0,KIC 6960445,1.9e-102,1.0,2.358e-07,1.9e-102,0.044,0.77,136.0441,42.4171,5.07,KIC,dr25,4.9e-101,KIC,1.256e-05,42.4189,6810.0,500.0,295.1956,16.8,13.84
K00670.01,PROB,KIC 7033671,1.0,,1.352e-05,291.8235,1637.0,,0.012,1.0,1.457e-07,,0.012,0.83,133.9667,,9.49,KIC,dr25,1.0,,8.882e-06,42.5162,,257.0,,13.77,
K00671.01,PROB,KIC 7040629,1.0,3.8e-23,4.736e-05,293.8902,975.0,UKIRT 44117913331646,0.033,1.0,1.364e-06,4.1e-23,0.033,0.8,132.6842,42.5285,4.23,KIC,dr25,1.0,UKIRT,1.073e-05,42.528,1061778.0,149.0,293.8916,13.75,21.16
K00671.02,PROB,KIC 7040629,0.98,0.018,0.0001965,293.8902,845.0,UKIRT 44117913331646,0.019,0.95,3.28e-06,0.0011,0.019,0.8,132.7724,42.5285,7.47,KIC,dr25,0.98,UKIRT,1.073e-05,42.528,939127.0,118.0,293.8916,13.75,21.16
K00671.03,PROB,KIC 7040629,0.77,0.22,0.000404,293.8902,957.0,UKIRT 44117913331646,0.0099,0.44,4.416e-06,0.0053,0.0099,0.8,144.5274,42.5285,16.26,KIC,dr25,0.77,UKIRT,1.073e-05,42.528,1050889.0,129.0,293.8916,13.75,21.16
K00671.04,PROB,KIC 7040629,1.0,0.00044,0.0001273,293.8902,646.0,UKIRT 44117913331646,0.02,0.95,2.245e-06,3.6e-05,0.02,0.8,134.4265,42.5285,11.13,KIC,dr25,1.0,UKIRT,1.073e-05,42.528,754304.0,96.0,293.8916,13.75,21.16
K00672.01,PROB,KIC 7115785,1.0,,6.053e-06,291.1695,5099.0,,0.032,1.0,1.673e-07,,0.032,0.84,140.6385,,16.09,KIC,dr25,1.0,,8.773e-06,42.6408,,590.0,,14.0,
K00672.02,PROB,KIC 7115785,1.0,,5.962e-06,291.1695,7181.0,,0.014,1.0,7.437e-08,,0.014,0.84,153.8451,,41.75,KIC,dr25,1.0,,8.773e-06,42.6408,,1033.0,,14.0,
K00672.03,MATCH,KIC 7115785,1.0,0.00052,0.0002313,291.1695,373.0,UKIRT 44117913733111,0.019,0.05,3.748e-06,5.4e-05,0.019,0.84,131.831,42.6426,0.57,KIC,dr25,1.0,UKIRT,8.773e-06,42.6408,2788210.0,27.0,291.1707,14.0,21.58
K00673.01,PROB,KIC 7124613,1.0,5e-101,4.873e-06,293.8346,1836.0,UKIRT 44117913784909,0.012,1.0,5.073e-08,5.2e-103,0.012,0.8,135.4512,42.6237,4.42,KIC,dr25,1.0,UKIRT,9.804e-06,42.625,372912.0,290.0,293.8345,13.34,18.53
K00674.01,PROB,KIC 7277317,1.0,,8.847e-07,290.3273,13127.0,,0.014,1.0,1.04e-08,,0.014,0.85,145.2393,,16.34,KIC,dr25,1.0,,7.633e-06,42.8983,,1708.0,,13.78,
K00675.01,MATCH,KIC 7385509,0.21,,0.7947,297.748,10918.0,,0.0056,0.0,0.004343,,0.0056,0.73,133.1459,,1.66,KIC,dr25,0.21,,1.561e-05,42.9952,,705.0,,13.84,
K00676.01,PROB,KIC 7447200,1.0,1e-101,9.444e-07,292.5034,25109.0,KIC 7447196,0.013,1.0,1.091e-08,1.2e-103,0.013,0.83,131.7215,43.0842,7.97,KIC,dr25,1.0,KIC,9.228e-06,43.0832,2795071.0,3194.0,292.5017,13.82,18.85
K00676.02,PROB,KIC 7447200,1.0,1.1e-101,1.014e-06,292.5034,13264.0,KIC 7447196,0.0089,1.0,7.82e-09,8.5e-104,0.0089,0.83,131.6405,43.0842,2.45,KIC,dr25,1.0,KIC,9.228e-06,43.0832,2090638.0,1724.0,292.5017,13.82,18.85
K00677.01,PROB,UKIRT 44117912097106,1.0,6.4e-78,4.269e-06,297.4017,83800.0,KIC 7466863,1.2e-77,1.0,6.297e-08,1.2e-77,0.017,0.74,135.1696,43.0428,11.97,UKIRT,dr25,6.4e-78,KIC,1.478e-05,43.0437,3028.0,426.0,297.401,17.09,13.77
K00678.01,PROB,KIC 7509886,1.0,,8.12e-06,285.4392,1059.0,,0.024,1.0,1.681e-07,,0.024,0.91,136.3504,,6.04,KIC,dr25,1.0,,4.658e-06,43.1685,,246.0,,13.28,
K00678.02,PROB,KIC 7509886,1.0,,8.298e-06,285.4392,851.0,,0.047,1.0,3.379e-07,,0.047,0.91,132.02,,4.14,KIC,dr25,1.0,,4.658e-06,43.1685,,245.0,,13.28,
K00679.01,PROB,KIC 7515212,1.0,,4.448e-05,287.6208,2282.0,,0.043,1.0,1.664e-06,,0.043,0.89,158.4482,,31.8,KIC,dr25,1.0,,5.315e-06,43.1416,,347.0,,13.18,
K00679.02,PROB,KIC 7515212,1.0,,0.0001464,287.6208,284.0,,0.056,0.56,7.106e-06,,0.056,0.89,139.6389,,16.26,KIC,dr25,1.0,,5.315e-06,43.1416,,51.0,,13.18,
K00680.01,PROB,KIC 7529266,1.0,,6.226e-07,292.2873,36889.0,,0.0043,1.0,2.293e-09,,0.0043,0.83,134.6417,,8.6,KIC,dr25,1.0,,8.636e-06,43.1973,,4509.0,,13.64,
K00681.01,PROB,KIC 7598128,1.0,,3.797e-07,288.542,132144.0,,0.0045,1.0,1.466e-09,,0.0045,0.88,144.2376,,44.26,KIC,dr25,1.0,,5.71e-06,43.2554,,20514.0,,13.2,
